Bepaling,BepalingCode,count,mean,std,min,25%,50%,75%,max,include,group
MN%,BMNP;L,926,50.5514,30.27535,0,25,45.55,76.5,100,0,
PMN%,BPMP;L,926,49.3406,30.27319,0,23.5,54.4,75,100,0,
Yzerverz.,RYZV;BL,914,0.226707,0.194162,0.02,0.12,0.18,0.27,2.45,0,
Ethanol,K_ETH_HP,904,0.736958,1.094716,0.1,0.1,0.1,1.1925,8.01,0,
Haptoglobine,K_HAPT_HP,897,1.757737,1.376784,0.1,0.53,1.5,2.7,6.7,0,
Glucose (LGLU),LGLU;L,891,4.463468,2.712017,0,3.185,4.12,5.19,31.51,0,
Leukocyten (liquor),LEUCL;L,880,766.342,3869.963,0,4.75,43,310,78000,0,
Total cells abs. (liquor),CFAL;L,878,676.7825,2865.41,0,5,44,306.75,52618,0,
LDL-chol.,RLDL;BL,868,2.379332,1.068033,0.08,1.64,2.26,3.03,8.11,0,
Bilirubine(Bgs),P_BIL_HB,867,37.07728,18.1901,34,34,34,34,251,1,BILIRUBIN
Totaal Eiwit,K_TE_UV,830,1.171096,1.211492,0.06,0.48,0.815,1.4475,11.6,0,
Staven#,HSTA#;BL,824,0.702124,1.301142,0,0.11,0.27,0.77,21.47,0,
HBsAg testwaarde.,M_HBsAgARCHnum_SR,805,23.83825,278.0062,0.04,0.17,0.2,0.24,5018.56,0,
Tot.eiwit (RTE),RTE;BL,796,62.60302,12.86674,18,55,62,70,151,0,
LDH Corr.,K_LDCORR_HP,793,962.4207,6858.579,80,254.8,347.7,531.8,137297.5,0,
L-index SR_STE,K_LIPIND_SR_STE,792,11.8548,21.23085,0,6,8,11,381,0,
H-Index SR_STE,K_HEMIND_SR_STE,792,7.195707,12.32507,0,2,4,8,172,0,
I-Index SR_STE,K_ICTIND_SR_STE,792,18.81818,30.40926,0,8,12,18,386,0,
L-index EPY,K_LIPIND_EPY,752,20.20213,23.19153,0,9,13,22,268,0,
H-Index EPY,K_HEMIND_EPY,752,6.780585,14.91471,0,1,2,6,206,0,
I-index EPY,K_ICTIND_EPY,752,93.22473,150.6735,0,13,30,89.5,845,0,
Mycofenolaat,A_MYC_EP,752,4.585825,3.807121,0.25,2,3.5,5.94,28.06,0,
anti HBcore Ig totaal testwaarde,M_aHBcnum_SR,747,0.557631,1.867425,0.02,0.07,0.09,0.12,12.08,0,
Reti(Abs),K_RETIA_EB,744,84.09019,56.98908,5,44.875,72.3,110.625,443,0,
Geion.Calc.,CCAL;BL,743,1.074576,0.170598,0.6,0.97,1.09,1.17,3.21,0,
"Levering, tijd:",H_BT_Info_LeveringTijd,735,1136.42,361.1375,1,900,1109,1400,2347,0,
Vitamine B12 (EB12),EB12;BL,726,542.8678,317.1737,41,299.25,461.5,705.75,1472,0,
Natrium,K_NA_UV,723,194.7381,167.6392,1.76,83.195,152.9,264.906,1355.675,0,
Metamyelocyten (HMEM),HMEM;BL,718,2.746518,2.815049,0,1,2,3,24,0,
MCH (HMCH),HMCH;BL,709,1.828152,0.19529,1.05,1.74,1.84,1.92,2.64,0,
MCHC (HMCC),HMCC;BL,708,20.21003,1.132657,16.1,19.5,20.2,21,23.9,0,
RDW-CV (HRWC),HRDW;BL,705,16.70397,3.459225,11,14.1,16.1,18.5,34.2,0,
Ammoniak,K_AMON_EP,698,64.67421,54.24662,10,31.925,50.65,77.85,512.6,0,
Tacrolimus,TACR;BL,683,10.84631,9.826833,1,4.67,7.78,12.65,58.9,0,
Urinezuur,K_URIZ_HP,680,278.5915,206.23,12,138.175,234.8,362.15,1267.9,0,
MN Abs. (liqour),MNAL;L,671,193.5663,524.4521,0,12,48,177,8510,0,
PMN Abs. (Liquor),PMNAL;L,671,689.2876,2871.275,0,5,41,310,47469,0,
Myelocyten (HMYE),HMYE;BL,645,2.646512,2.511899,0,1,2,3,18,0,
HCV Ig totaal testwaarde,M_aHCVnum_SR,645,0.334318,1.570888,0.008,0.04,0.06,0.1,14.36,0,
Amylase (RAMY),RAMY;O,645,13467.03,39485.82,6.4,58.8,405.8,4818.6,391812.6,0,
Overig.cell%,BHFP;L,643,3.812442,9.175263,0,0.6,1.4,3.2,150,0,
Yzerverz.%,RYZV%;BL,630,22.94127,22.73315,3,13,19,27,358,0,
Amylase drainvocht,K_AMYL_DR,628,12682.17,29069.5,3,23,235,6308.75,210160,0,
Totaal eiwit (liquor),TOEIL;L,617,1080.786,1689.67,17,357,566,1042,22809,0,
Foliumzuur,EFOL;BL,610,16.30674,8.790284,2,9.7,14.7,21.1,45.4,0,
Erytrocyten (liquor),ERYTL;L,605,86497.85,224321.8,300,1800,11500,53900,2150000,0,
Treponema pallidum Ig totaal testwaarde,M_TPARCHnum_SR,593,0.192378,1.76927,0.01,0.04,0.05,0.07,38.66,0,
Triglyceriden,K_TRGL_HP,587,2.839353,6.621119,0.23,1.14,1.67,2.535,100.05,0,
TSH (TSHD),TSHD;BL,578,3.735381,7.04699,0.01,0.98,1.705,3.46,65,0,
Ery's,K_ERY_UR,578,20,0,20,20,20,20,20,0,
Free T4,EFT4;BL,577,15.53709,8.076705,2.6,11.4,15,18.2,80.1,0,
Neutro's %,K_ANEU_EB,569,77.63427,15.80214,0.6,73,82.5,87.1,98.2,0,
Fe,K_FE_HP,559,8.117889,6.526964,1.1,3.8,6,10,47,0,
Metamyelocyten#,HMEM#;BL,556,0.519838,0.806106,0.01,0.1,0.21,0.6025,6.63,0,
H-Index EP EG,K_HEMINDEG_EP,553,9.450271,28.11618,0,0,3,8,518,0,
Anti B blgr lang,H_Anti_B_L,547,3.595978,0.491151,3,3,4,4,4,0,
Ureum (U),UURE;U,543,163.9834,98.94045,6,93,144,206.5,609,0,
Lactaat,K_LACT_FP,539,2.301707,2.825017,0.47,1.02,1.56,2.51,29.46,1,LACTATE
L-index FP,K_LIPIND_FP,539,17.68089,36.24332,0,8,11,17,431,0,
I-index FP,K_ICTIND_FP,539,22.18924,43.58005,0,8,12,21,565,0,
H-index FP,K_HEMIND_FP,539,7.333952,13.8828,0,2,4,7,196,0,
Leukocyten (RLEU),RLEU;O,535,6.463869,28.65984,0,0.2,0.6,2.75,340,0,
Bilirubine(Bgs Centraal),K_BIL_HB,530,38.11698,29.05489,17,34,34,34,492,1,BILIRUBIN
Myelocyten#,HMYE#;BL,526,0.6123,1.028043,0.01,0.11,0.22,0.65,9.02,0,
TYBC Bereken,RTYB;BL,522,44.27893,16.70584,5.8,32.8,41.7,53.625,112.6,0,
IgG (IGGR),IGGR;BL,518,12.10772,11.42231,0.5,5.425,9.4,13.6,95.5,0,
Lymfocyten %,K_ALY_EB,497,12.04608,8.278092,1.3,6.2,9.5,15.3,42.2,0,
Eo %,K_AEO_EB,495,1.200404,1.728693,0,0.2,0.5,1.4,12.2,0,
Baso %,K_ABA_EB,495,0.148283,0.347216,0,0,0,0,2.9,0,
Monocyten %,K_AMO_EB,495,6.619798,2.781447,0.2,4.8,6.4,8.4,17.8,0,
Vancomycine,VANCO;BL,489,19.72106,8.511915,4.2,14,19,24.1,78.5,1,VANCOMYCIN
IJzer Verz%,K_FEVZ_HP,478,19.32007,18.70987,1,9,15,22,235,0,
TYBC,K_TYBC_HP,478,45.55732,16.30173,6,34,44,55,107,0,
Cholesterol,K_CHOL_HP,476,4.065861,1.863859,0.93,3.06,3.885,4.8225,29.86,0,
Overig.cell abs. (liquor),HFAL;L,473,7.72093,19.97536,1,1,3,7,268,0,
IgM (IGMR),IGMR;BL,473,2.621374,7.928418,0.03,0.28,0.67,1.21,69.7,0,
IgA (IGAP),IGAP;BL,468,3.347991,7.952258,0.04,0.75,1.76,3.065,101,0,
Tot.eiwit (RTE),RTE;O,465,24.82753,13.35125,2.6,15.2,23,34.2,66.1,0,
%Eosinofiel,BEOP;L,458,2.326201,4.779164,0,0.3,0.8,1.9,40,0,
LDH (RLDH),RLDH;O,454,1204.218,3319.787,23,158.925,317.3,898.475,33422,0,
Anti B blgr kort,H_Anti_B_K,445,3.714607,0.457064,2,3,4,4,4,0,
Gecon.Bili,K_BILD_HP,429,85.3007,103.9034,2,18.2,40.4,110.2,757.6,0,
Ciclosporine,A_CIC_EB,420,349,330.3681,5,186.75,261.55,369.1,3406,0,
Kalium,K_KA_UR,410,35.49332,24.18451,3,19.7775,29.945,43.9575,173.68,0,
Chloride DE,CCHL;BL,409,107.0196,9.580649,55,102,107,112,146,0,
RATIO Calcium (plasma / Caion(7.4) ICV,K_CA_RATIO,409,1.86088,0.141644,1.59,1.77,1.84,1.93,2.6,0,
HBsAg quantitatief,M_HBsAgQ_SR,409,0.964298,10.85557,0.03,0.03,0.03,0.03,150,0,
L-index PP,K_LIPIND_PP,408,14.17647,30.46702,0,2,4,10,234,0,
I-index PP,K_ICTIND_PP,408,22.64951,27.42974,0,7,13.5,27,190,0,
H-index PP,K_HEMIND_PP,408,11.52941,87.49702,0,0,1,4,1690,0,
Leuco's Liquor,K_LEU_LI,404,1.331563,10.19672,0,0.002,0.015,0.09775,134.32,0,
H-index OV,K_HEMIND_OV,403,12.22084,34.94983,0,0,2,6.5,386,0,
L-index OV,K_LIPIND_OV,403,19.34491,38.49575,0,3,8,18,366,0,
I-index OV,K_ICTIND_OV,403,18.70968,75.13466,0,3,7,16,1370,0,
Glucose,K_GLUC_LI,402,4.188507,2.095688,0.1,3.2,4.2,5.075,25,0,
Ery's Liquor,K_ERY_LI,401,0.019951,0.111394,0,0,0,0.005,1.818,0,
anti HBcore testwaarde,M_aHBcXLnum_SR,400,2.22624,0.856958,0.1,2.25,2.7,2.7,2.7,0,
HIV antistoffen testwaarde,M_HIVAsnum_SR,400,1.19673,9.167781,0.158,0.2675,0.302,0.3565,132,0,
HIV p24 antigeen testwaarde,M_HIVp24num_SR,400,0.279698,0.046185,0.201,0.25375,0.276,0.297,0.743,0,
HIV Ag+As testwaarde,M_HIVCOMnum_SR,390,12.1669,106.3449,0.04,0.11,0.14,0.1875,1202.85,0,
PMN% (OV),OPMP;O,384,44.96875,29.49129,0,16.275,42.7,71.875,98.4,0,
MN# (OV),OMNA;O,384,1.987833,13.53655,0.002,0.07675,0.206,0.61125,184.129,0,
MN% (OV),OMNP;O,384,54.94089,29.58936,1.3,27.575,57.3,83.725,100,0,
PMN# (OV),OPMA;O,384,3.379659,15.96321,0,0.019,0.1275,1.17275,210,0,
PTH,K_PTH_EP,383,30.6436,43.60732,0.5,4.75,15.9,39.15,484,0,
Vit-B12,K_VB12_HP,378,638.7831,382.2185,82,342.25,538,819.75,1476,0,
Ceftriaxon,A_CEFTX_EP,372,63.2241,67.80841,0.3,10,47.15,87,482.2,0,
#Eosinofiel (OV),OEOA;O,370,0.044,0.270278,0,0,0.001,0.006,4,0,
%Eosinofiel (OV),OEOP;O,370,0.920541,3.17276,0,0,0.1,0.8,47.2,0,
H-index CP,K_HEMIND_CP,369,20.53659,47.47516,0,2,6,15,503,0,
L-index CP,K_LIPIND_CP,369,13.98645,34.99118,1,7,9,13,643,0,
I-index CP,K_ICTIND_CP,369,22.25745,41.27652,0,8,11,18,395,0,
Eiwit mg/L,K_CFP_LI,368,1253.484,2144.504,60,341.75,565,1142.75,22410,0,
25OH-vitD2+3,V25D;BL,364,42.45879,23.99049,10,25,38,53,168,0,
Hb-A1-c IFCC,H1CI;BL,362,50.56354,24.06564,23,36,42,57,163,0,
Eiwit g/L,K_CFPBer_LI,359,1.283404,2.162824,0.064,0.349,0.577,1.156,22.41,0,
Chloride (U),UCHL;U,356,71.39326,52.44111,6,28,63.5,101,305,0,
Lymfocyten %,K_HLY_EB,350,13.43429,15.28431,0,3,7.5,17,82,0,
Baso %,K_HBA_EB,349,0.332378,0.83295,0,0,0,0,7,0,
Totaal Eiwit pleuravocht,K_TE_PP,349,27.15645,10.57634,5,19,26,35,70,0,
Staaf %,K_HST_EB,349,6.759312,9.306681,0,1,3,8,58,0,
Segmenten %,K_HSG_EB,349,69.58739,22.62555,1,60,78,86,98,0,
Metamyelocyten %,K_HMET_EB,349,0.988539,2.370772,0,0,0,1,23,0,
Blasten %,K_HBL_EB,349,0.140401,1.215466,0,0,0,0,19,0,
Myelocyten %,K_HMYO_EB,349,0.65043,1.709803,0,0,0,0,14,0,
Monocyten %,K_HMO_EB,349,7.083095,8.125204,0,2,5,9,62,0,
Eo %,K_HEO_EB,349,0.977077,3.117349,0,0,0,1,36,0,
Promyelocyten %,K_HPRO_EB,349,0.065903,0.453227,0,0,0,0,5,0,
Kreatinine,K_KR_OV,348,659.6089,1373.244,5,65,129,341.75,9149,0,
Neuron Specifiek Enolase,K_NSEKC_SR,347,57.73429,73.81746,2.1,18.7,26.3,57,370,0,
Leuco's Liquor,K_LEUB_LI,345,1167.991,10027.83,0,2,15,97,134320,0,
Bilirubine drainvocht,K_BILT_DR,344,116.1352,252.0595,3,7,19,96.25,1797,0,
Glucose pleuravocht,K_GLUC_PP,342,6.494152,3.273984,0.1,5.125,6.7,8,18.7,0,
Ery's Liquor,K_ERYB_LI,342,22090.64,120296.3,0,0,0,5000,1818000,0,
Cefotaxime,A_CFTXM_EP,341,20.97345,37.54822,0.2,3.719,8.4,24.6,461.448,0,
Hyaline cilinders FlowC,K_HYAF_UR,340,1.106294,2.533752,0,0,0.27,0.95,19.46,0,
Slijm FlowC,K_MUCF_UR,340,0.086265,0.260042,0,0,0,0,2.87,0,
SpermatozoÃ¯den FlowC,K_SPRF_UR,340,8.473824,79.03819,0,0,0,0,890.3,0,
Plaveisel epitheel FlowC,K_EPIF_UR,340,11.12824,30.11594,0,0.7,2.4,6.625,272.5,0,
Epitheelcellen FlowC,K_EPICLF_UR,340,23.33735,52.01984,0,3.1,8.4,20.25,610.3,0,
Niet-plaveiselcellen FlowC,K_NPEPF_UR,340,12.16971,33.74598,0,1.75,4.1,12.95,551.1,0,
Niet-gelyseerde RBCs,K_NLRBCF_UR,340,602.1056,2745.494,0.9,7.575,22.3,148.075,29483.6,0,
Gist FlowC,K_YEAF_UR,340,42.66029,308.9024,0,0.1,0.4,1.5,4749.9,0,
Transitioneel epitheel FlowC,K_TEPF_UR,340,0.735882,2.626259,0,0,0.1,0.45,33.2,0,
Erytrocyten FlowC,K_RBCF_UR,340,631.67,2787.022,0.9,8.8,24.45,153.45,29491.8,0,
Kristallen FlowC,K_CRYF_UR,340,6.729706,51.86588,0,0,0,0,805.2,0,
Renaal tubulair epitheel FlowC,K_RTEF_UR,340,11.41088,33.20334,0,1.6,3.7,12.2,547.1,0,
Leukocyten klontjes FlowC,K_WBCAGF_UR,340,25.28118,210.7144,0,0,0,0.9,3037.8,0,
Leukocyten FlowC,K_WBCF_UR,340,688.6971,3871.622,0,4.45,12.85,61.375,45835.6,0,
Cilinders FlowC,K_CASTF_UR,340,1.850059,4.475382,0,0.13,0.41,1.64,39.64,0,
Bacterien FlowC,K_BACTF_UR,339,4869.415,16867.63,0,3.4,16,121.9,99764.5,0,
Pathologische cilinders FlowC,K_PATCF_UR,339,0.743864,2.19258,0,0,0.13,0.54,20.18,0,
I-index EP EG,K_ICTINDEG_EP,337,18.0089,46.85378,0,2,5,13,418,0,
L-index EP EG,K_LIPINDEG_EP,337,66.4362,49.99651,1,27,57,97,236,0,
Hdl-Chol,K_HDL_HP,334,1.09988,0.469736,0.14,0.8125,1.025,1.2875,3.46,0,
Eosinofiel Abs. (liquor),EOAL;L,333,13.36336,58.23211,1,1,3,10,958,0,
Leukocyten (BLEU),BLEU;L,333,0.596553,1.932432,0,0.004,0.043,0.325,17.225,0,
Leukocyten (LLEU),LLEU;L,331,1784.039,5810.552,0,12,129,970.5,51675,0,
LD pleuravocht,K_LD_PP,329,890.5584,2500.823,42,151,272,546,30074,0,
anti HBs testwaarde,M_aHBsnum_SR,325,149.3263,295.5974,0,3,5.31,101,1000,0,
LDL (Ber.),K_LDL_CALC_HP,322,2.106522,1.047555,0.1,1.4,2,2.7,7.6,0,
Ureum,K_UREUM_UR,317,180.3451,114.7268,40,86.1,152.1,253.9,682,0,
Vitamine B1 (VB1),VB1;BL,317,136.2915,64.79406,22.8,98.1,125.1,154.1,618.5,0,
Serum Totaal Eiwit,K_STE_SR,314,52.27611,12.19551,13,46.6,52.75,58.775,94.2,0,
Desacetyl Cefotaxime,A_D_CFTXM_EP,312,11.89932,15.95454,0.1,4.2,7.584,13.9825,179.6,0,
Kristallen Microscopisch,K_KRIST_UR,311,10,0,10,10,10,10,10,0,
pH pleuravocht,K_PH_PP,310,7.355577,0.219822,6.3,7.3,7.42,7.49,7.98,0,
Dilution BSE,K_BSEDIL_EB,310,102.0935,4.862607,90,99,102,105,128,0,
Voriconazol,VOCO;BL,310,4.006623,2.95023,0.1,1.8625,3.485,5.215,14.93,0,
Vancomycine,K_VAO_EP,310,19.90194,31.31869,4,13.025,17.4,21.6,554,1,VANCOMYCIN
Ceftazidim,CEFTA;BL,304,51.74671,44.99994,0.5,27.1,42.4,65.2,372,0,
Blasten %,H_HBL_EB,303,0.669967,7.041739,0,0,0,0,89,0,
Baso,H_HBAA_EB,303,0.037459,0.145214,0,0,0,0,1.72,0,
Myelocyten %,H_HMYO_EB,303,1.042904,2.306371,0,0,0,1,16,0,
Promyelocyten,H_HPROA_EB,303,0.022772,0.144976,0,0,0,0,1.95,0,
Myelocyten,H_HMYOA_EB,303,0.166106,0.453078,0,0,0,0.125,3.89,0,
Blasten,H_HBLA_EB,303,0.362475,4.495775,0,0,0,0,74.94,0,
Staaf %,H_HST_EB,303,5.590759,8.117362,0,0,3,6,50,0,
Staaf,H_HSTA_EB,303,0.908185,1.474938,0,0,0.32,1.175,9.76,0,
Monocyten %,H_HMO_EB,303,5.983498,7.896876,0,2,4,7,80,0,
Monocyten,H_HMOA_EB,303,1.385908,9.715106,0,0.2,0.55,1.115,168.8,0,
Metamyelocyten %,H_HMET_EB,303,1.0033,2.102503,0,0,0,1,12,0,
Eo %,H_HEO_EB,303,0.709571,1.611673,0,0,0,1,13,0,
Eo,H_HEOA_EB,303,0.12165,0.328536,0,0,0,0.08,2.64,0,
Metamyelocyten,H_HMETA_EB,303,0.156007,0.378854,0,0,0,0.11,2.87,0,
Segmenten %,H_HSG_EB,303,71.83168,22.53095,0,64.5,80,87,99,0,
Segmenten,H_HSGA_EB,303,15.29591,15.70765,0,4.665,12.74,20.205,112.24,0,
Lymfocyten %,H_HLY_EB,303,12.81848,15.5858,0,4,8,14.5,98,0,
Lymfocyten,H_HLYA_EB,303,1.54462,1.776097,0,0.44,1.07,2.02,15,0,
Promyelocyten %,H_HPRO_EB,303,0.09901,0.419041,0,0,0,0,3,0,
Baso %,H_HBA_EB,303,0.250825,0.66844,0,0,0,0,5,0,
Glucose,RGLU;O,299,7.4699,4.758084,0.1,5.3,6.6,8.7,46.5,0,
Erythroblasten,H_HERB_EB,296,1.469595,6.140647,0,0,0,1,64,0,
Alcohol (RALC),RALC;BL,296,1.861081,1.059221,0.1,1.07,1.86,2.5025,5.62,0,
Ciclosporine,CICL;BL,295,255.2939,170.8328,11.3,136,224,332.5,1230,0,
Alb.Chem pleuravocht,K_ALBC_PP,293,12.06485,5.088184,2,8,11,15,29,0,
Anti-Xa Nadroparine,NADRO;BL,291,0.631856,0.359238,0.1,0.385,0.58,0.8,1.9,0,
Foliumzuur,K_FOLA_HP,281,20.91388,11.18009,3.3,12,19.5,27.5,45.4,0,
Voriconazol,A_VOR_SR,261,3.244431,2.810815,0.06,1.2,2.64,4.4674,25.89,0,
MN#,BMNA;L,255,0.122529,0.181767,0,0.011,0.046,0.1475,1.101,0,
PMN#,BPMA;L,255,0.643831,2.089389,0,0.0065,0.047,0.339,16.961,0,
Aanvrager/arts toegevoegde bepaling,K_NABEP,253,304262.2,2259787,6,6957,47621,61601,21504700,0,
Valpro.zuur,VALR;BL,253,40.32723,22.11394,2.99,23.2,37.4,54.2,130.4,0,
S.M.,K_SMRM_UR,252,1.01421,0.006063,1.002,1.01,1.013,1.018,1.038,0,
cilinders microscopisch,K_CILMIC_UR,250,10,0,10,10,10,10,10,0,
Tot.eiwit,LTE;L,249,1.324819,2.28744,0.08,0.32,0.57,1.15,18.41,0,
NSE,ENSE;BL,247,60.0085,63.01712,1.8,21.35,36.2,73.6,353,0,
Albumine (ALBI),ALBI;O,246,16.5813,6.010153,10,12,15,19,41,0,
Pls.Totaal Eiwit,K_TE_HP,241,60.92448,12.65585,14,52.9,60.3,68.1,99.1,0,
Transferrine,K_TRF_HP,233,1.83794,0.703613,0.25,1.3,1.8,2.3,4.2,0,
Bili-totaal (RBIT),RBIT;O,230,115.4043,187.9916,1,13,33.5,125,1245,0,
Triglyceride,RTRI;O,225,1.669111,3.521832,0.1,0.31,0.66,1.34,31.07,0,
Factor V,FC05;BL,224,56.9433,39.58092,5,24.75,46,82.25,150,0,
HSV-1 DNA Cp waarde,M_PCR_HSV1_BC_Cp,222,28.86856,5.398552,14.86,24.7125,30.385,33.3625,40,0,
Treponema pallidum Ig totaal testwaarde,M_TPXLnum_SR,222,0.471009,4.72803,0.1,0.1,0.1,0.1,70,0,
Triglyceriden drainvocht,K_TRGL_DR,220,2.085364,3.575445,0.1,0.4,0.8,1.8,22.9,0,
iPTH,K_PTH_EP_norm,217,32.11429,46.67331,0.5,5.2,16.6,42.9,484,0,
PH (O),OPH;O,216,7.464213,0.396193,4.76,7.38,7.535,7.63,8.87,0,
Leuco sed,K_LEU_UR,215,20,0,20,20,20,20,20,0,
Lymfocyten (BM),SLYMBM;BM,211,45.3981,42.71537,2,17,33,60,229,0,
Erytrocyten (LERY),LERY;L,207,174385.1,410324.5,211,7200,31500,121350,2912100,0,
Erytrocyten (BERY),BERY;L,207,0.060833,0.14109,0.0003,0.00255,0.0108,0.0423,0.9707,0,
Tacrolimus AUC,A_TCR_AUC,207,410.5797,171.5664,24,291.5,390,499,1240,0,
I-index AS,K_ICTIND_AS,205,30.12195,67.18944,0,4,11,29,764,0,
H-index AS,K_HEMIND_AS,205,9.243902,36.64588,0,0,0,2,338,0,
Ureum,K_UREUM_UV,205,351.2537,248.0319,2,170,330,481,1876,0,
L-index AS,K_LIPIND_AS,204,23.91667,50.87256,0,3,7.5,20.5,387,0,
ErythroÃ¯d : MyeloÃ¯d,SERMYBM;BM,204,6.113186,17.77542,0,1.0075,2.03,3.825,162,0,
Poly.Pri.Ery (BM),SPPEBLBM;BM,202,88.0396,76.90945,1,19.25,71.5,131.75,301,0,
CMV DNA,M_PCR_CMVkwan2_EP,202,9560.347,21262.92,1000,1000,1105,6772.5,100000,0,
Vitamine D 25 OH,K_D25_SR,201,54.49254,30.74299,10,33,49,70,165,0,
Free T4,FT4;BL,200,17.5075,8.012201,5.8,12.975,16.5,19.925,69,0,
CMV DNA Cp waarde,M_PCR_CMV_EP_Cp,199,36.01804,3.135266,26.53,33.67,36.29,38.39,40,0,
non-HDL-Cholesterol,nonHDL;BL,198,3.015657,1.275703,0.6,2.1,2.8,3.675,10.3,0,
CO-hemoglob.,CCOH;BL,197,3.435025,8.653255,0,0.9,1.3,2,92.3,0,
Blasten (BM),SBLABM;BM,194,46.66495,76.84374,1,4,11,41.75,384,0,
TotEiwit/Kreat ratio,K_TEKR,191,176.0977,429.4056,7.2,47.47,73.72,156.6,4292.45,0,
Segm.gran (BM),SSEGBM;BM,190,72.55789,57.01568,1,22,64.5,115.5,222,0,
Myelocyten (BM),SMYEBM;BM,189,36.03175,29.49268,1,13,31,52,142,0,
Monocyten (BM),SMONBM;BM,187,14.16043,21.03494,1,4.5,9,15,230,0,
CMV DNA Cp waarde,M_PCR_CMV_BC_Cp,186,36.47978,3.421745,20.86,34.6375,37.21,39.2975,40,0,
Compl.C3 (RC3),RC3;BL,185,1.144973,0.442175,0.18,0.78,1.15,1.45,2.62,0,
Chloor,K_CL_UR,185,64.63838,46.80802,20,23,48.4,90,253.8,0,
Glucose (U),UGLU;U,185,9.805405,48.91469,0,0,1,1,427,0,
Lymfocyten,SLYM;BL,183,21.93989,24.8687,1,6,11,26.5,100,0,
Promyelocyten (HPRM),HPRM;BL,181,1.994475,1.884136,0,1,1,2,14,0,
Compl.C4 (RC4),RC4;BL,179,0.244916,0.155767,0.01,0.13,0.23,0.31,0.94,0,
Promyelocyt (BM),SPRMBM;BM,178,29.4382,24.96617,1,13.25,24.5,40.75,155,0,
Factor VIII chromog,F8CH;BL,178,192.2444,133.7117,0.4,69.5,181.9,302.75,477.7,0,
Plasmacellen (BM),SPLABM;BM,178,20.02809,34.53868,1,3.25,9,17,225,0,
Stav.granu (BM),SSTABM;BM,177,27.81356,21.65416,1,8,25,41,90,0,
Cyclosporine (CYCL),ACYC;BL,176,254.2557,166.3787,22,136.5,214,343.75,976,0,
Mycofenolaat AUC [0-12],A_MYC_AUC,176,38.81705,19.37178,0,25,34.85,50.2,101,0,
Tryptase,TRPI;BL,175,11.84217,29.72407,1.03,2.845,4.51,9.235,330,0,
HbA2 (HbA2),HBA2;BL,175,3.386857,1.240874,1.6,2.4,3.2,3.95,7.4,0,
Levetiracetam,A_LVT_SR,174,21.3211,14.46124,0.3,10.3025,17.795,28.24737,85.3,0,
Metamyelocyt (BM),SMEMBM;BM,173,18.94798,13.64724,1,7,17,27,61,0,
Segmenten,SSEG;BL,171,55.14035,31.83585,1,27,65,81.5,177,0,
Overig.cell#,BHFA;L,170,0.347253,2.014046,0.001,0.001,0.003,0.00875,22,0,
Sirolimus,A_SIR_EB,169,11.67275,8.245907,1,5.15293,10.3777,17.185,40.682,0,
Lithium (RLIT),RLIT;BL,169,0.820473,0.678732,0.05,0.4,0.68,0.94,4.85,0,
Aspergillus antigeen (Galactomannan) index,M_GALACAGnum_BR,168,1.003595,1.912514,0,0.1,0.2,0.7,8.854,0,
Cortisol,K_COR_HP,168,512.4524,362.5832,30,279.75,423,669,2142,0,
Pro.Ery. (BM),SPOEBLBM;BM,167,7.640719,6.552128,1,3,6,10,40,0,
PH (U),UPH;U,167,5.634371,0.780667,4.13,5.055,5.51,5.955,8.52,0,
Cytomegalovirus DNA kwantitatief PCR,M_PCR_CMVkwan_EP,165,8502.485,21752.34,500,500,500,2400,100000,0,
Met-hemoglob,CMET;BL,164,0.946951,5.027427,0,0.1,0.3,0.3,46.5,0,
WANTAI SARS-CoV-2 Ab Elisa testwaarde,M_SARSCoV2Abnum_SR,158,6.127949,7.973156,-0.36,0.01,1.23,12.3575,20.84,0,
Promyelocyten#,HPRM#;BL,157,0.565032,1.115229,0,0.1,0.21,0.53,9.36,0,
ValproÃ¯nezuur,A_VLP_EP,156,41.37308,23.99739,12.5,22.375,39.7,53.025,130.7,0,
Eos.gran. (BM),SEOSBM;BM,155,15.21935,15.67207,1,4,10,20.5,87,0,
Glucosestrip,GLS;BL,151,11.33311,4.487237,4.8,8.6,9.7,12.2,28.9,0,
MPO ANCAc,MPO;BL,151,3.175497,11.23115,0,0.4,0.7,1.1,75.4,0,
Monocyten,SMON;BL,151,9.576159,10.40797,1,3,6,11.5,51,0,
Cyprofloxacin,A_CPFXC_EP,150,2.36104,2.255349,0.1,1,1.95,3.275,16.4,0,
HbA1c,K_HBA1cp_EB,149,7.697718,2.717489,4.6,5.8,6.8,8.4,16.36,0,
PR3 ANCAc,PR3;BL,149,18.03826,129.9468,0.1,0.8,1,1.2,1152,0,
HbA1c IFCC,K_HbA1c_EB,148,60.73716,29.77542,26.7,39.9,50.8,68.475,155.4,0,
Thrombo's citr. bloed,K_THRBer_CI,147,74.95918,53.47677,1,38,68,91.5,384,0,
IgM Reumafacto,IGMRF;BL,147,3.970068,14.89775,0.4,0.6,1,2,145.6,0,
Lipoproteine A (LPa),LIPOA;BL,146,88.32877,97.7035,8,20.5,48.5,131,531,0,
Reticulated platelets,K_RPS_EB,145,6.233103,3.975915,0.94,3.17,5.13,8.66,23.7,0,
